	Instantie	Datum uitspraak	Datum publicatie	Zaaknummer	Rechtsgebieden	Bijzondere kenmerken	Inhoudsindicatie	Vindplaatsen		Wetsverwijzingen	Formele relaties
235	Rechtbank Den Haag	19-10-2022	01-11-2022	C/09/608138 / HA ZA 21-214	Civiel recht	Eerste aanleg - enkelvoudig	Vordering tot betaling op grond van meerdere koopovereenkomsten. Dat partijen overeenkomsten hebben gesloten, staat niet vast.	Rechtspraak.nl	Verrijkte uitspraak		
236	Rechtbank Den Haag	19-10-2022	01-11-2022	C/09/609769 / HA ZA 21-311	Civiel recht	Eerste aanleg - enkelvoudig	Vorderingen tot betaling van een vergoeding voor het aanbrengen van een project op grond van een tussen partijen gesloten overeenkomst. Niet-ontvankelijk. De overeenkomst is niet gesloten met eiser.	Rechtspraak.nl	Verrijkte uitspraak		
237	Rechtbank Den Haag	19-10-2022	02-11-2022	C/09/597131 / HA ZA 20-765	Verbintenissenrecht	"Bodemzaak
Eerste aanleg - enkelvoudig"	Vorderingen tot betaling van een vergoeding voor het aanbrengen van een project op grond van een tussen partijen gesloten overeenkomst.	Rechtspraak.nl	Verrijkte uitspraak		
238	Rechtbank Overijssel	19-10-2022	02-11-2022	C/08/269504 HA ZA 21-319	Civiel recht	Eerste aanleg - enkelvoudig	Eiser heeft in 2004 een perceel grond verkocht aan een woningstichting, met de afspraak dat de woningstichting twee andere percelen grond, die bij eiser in eigendom bleven, bouw- en woonrijp zou maken. Ook zou de woningstichting een toegangsweg aanleggen over haar eigen aangekochte grond. Dit alles is nog steeds niet gebeurd en eiser vordert dat de woningstichting verplicht wordt de afspraak nu na te komen. De rechtbank wijst de vordering af, omdat nog niet aan de voorwaarden die waren afgesproken, is voldaan. De woningstichting hoeft de percelen van eiser pas bouw- en woonrijp te maken als zij haar eigen perceel ook kan ontwikkelen, en daarvoor heeft zij nog geen vergunning van de gemeente. Ook is de situatie dat ontwikkeling van het perceel van de woningstichting definitief niet door zal gaan, en partijen in redelijk overleg over de situatie moeten treden, nog niet aan de orde.	Rechtspraak.nl	Verrijkte uitspraak		
239	Rechtbank Noord-Holland	19-10-2022	02-11-2022	10003337	Civiel recht	"Eerste aanleg - enkelvoudig
Verstek"	Ambtshalve toetsing consumentenzaak. Overeenkomst gesloten op afstand via website óf smartphoneapp. Sanctie 25% omdat niet voldaan is aan art 6:230v lid 7 BW.	Rechtspraak.nl	Verrijkte uitspraak		
240	Rechtbank Amsterdam	19-10-2022	02-11-2022	C/13/715035 / HA ZA 22-220	Verbintenissenrecht	Eerste aanleg - enkelvoudig	geschil over uitvoering aannemingsovereenkomst - aannemer heeft niet aan zijn verplichtingen voldaan - ontbinding is gerechtvaardigd	Rechtspraak.nl	Verrijkte uitspraak		
241	Rechtbank Zeeland-West-Brabant	19-10-2022	03-11-2022	9701749 CV EXPL 22-689	Civiel recht	Bodemzaak	Overeenkomst van opdracht. Partijen voeren werkzaamheden uit voor elkaar. Beroep op verrekening slaagt.	Rechtspraak.nl	Verrijkte uitspraak		
242	Rechtbank Gelderland	19-10-2022	04-11-2022	C/05/407413 / KG ZA 22-261	Civiel recht	Kort geding	Kort geding. Aanbesteding. Geen sprake van disproportionele voorwaarden en irreele tarieven. Niet aannemelijk dat sprake is van een niet transparant en onzorgvuldig tot stand gekomen kostprijsonderzoek.	Rechtspraak.nl	Verrijkte uitspraak		
243	Rechtbank Gelderland	19-10-2022	04-11-2022	C/05/360892 / HA ZA 19-104	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Na-isoleren van spouwmuren met verlijmde grafietparels.Lijm lost na 3 tot 6 jaar op. Parels stromen dan uit de spouwmuur.	Rechtspraak.nl	Verrijkte uitspraak		
244	Rechtbank Oost-Brabant	19-10-2022	25-10-2022	C/01/349492 / HA ZA 19-530	Civiel recht	"Bodemzaak
Eerste aanleg - meervoudig"	Claim van belangenbehartigers namens consumenten vanwege vermeende schade door het beeldbuizenkartel. Vorderingen ex 3:305a BW (oud) niet-ontvankelijk. Individuele eisers die zelfstandig vorderingen hebben ingesteld mogen voortprocederen.	Rechtspraak.nl	Verrijkte uitspraak		
245	Rechtbank Oost-Brabant	19-10-2022	25-10-2022	C/01/364924 / HA ZA 20-762	Civiel recht	"Bodemzaak
Eerste aanleg - enkelvoudig"	verzekeringsfraude. Geen authentieke aanrijding. Gedaagden veroordeeld tot vergoeding van schade.	"Rechtspraak.nl 
PS-Updates.nl 2022-0664"	Verrijkte uitspraak		
246	Rechtbank Oost-Brabant	19-10-2022	25-10-2022	C/01/366651 / HA ZA 21-16	Civiel recht	"Bodemzaak
Eerste aanleg - enkelvoudig"	Aanneming van werk. Wat hebben partijen precies afgesproken? Is sprake van tekortkoming? Schade vanwege onrechtmatige daad?	Rechtspraak.nl	Verrijkte uitspraak		
247	Rechtbank Oost-Brabant	19-10-2022	25-10-2022	C/01/354995 / HA ZA 20-88	Civiel recht	"Bodemzaak
Eerste aanleg - meervoudig"	Schadevaststelling op grond van bestuurdersaansprakelijkheid. In een eerder tussenvonnis is al vastgesteld dat sprake is van bestuurdersaansprakelijkheid. In dit eindvonnis gaat het om de vraag wat de schade is.	Rechtspraak.nl	Verrijkte uitspraak		
248	Rechtbank Oost-Brabant	19-10-2022	25-10-2022	C/01/374579 / HA ZA 21-665	Civiel recht	"Bodemzaak
Eerste aanleg - enkelvoudig"	Eisende partij komt in verzet tegen vijf dwangbevelen. De rechtbank verklaart de eisende partij niet-ontvankelijk, omdat zij het verkeerde bestuursorgaan heeft gedagvaard.	Rechtspraak.nl	Verrijkte uitspraak		
249	Rechtbank Amsterdam	19-10-2022	06-11-2022	C/13/722487 / KG ZA 22-786	Intellectueel-eigendomsrecht	"Eerste aanleg - enkelvoudig
Kort geding"	Eiseres beweert over de auteursrechten te beschikken op (de uitwerking van) een concept dat inhoudt dat een shake van eiwitpoeder kan worden voorzien van een smaak naar eigen keuze. De voorzieningenrechter is van oordeel dat hierop voorshands geen auteursrecht rust en dat er dus geen sprake kan zijn van auteursrechtinbreuk door gedaagden. Verder is onvoldoende aannemelijk dat de bodemrechter ondanks de gelijkenissen tot het oordeel zal komen dat sprake is van onrechtmatig handelen (slaafse nabootsing). Er zijn namelijk ook tal van verschillen aan te wijzen. Bovendien is geen sprake van bijkomende omstandigheden die het handelen van gedaagden onrechtmatig zouden maken.	Rechtspraak.nl	Verrijkte uitspraak		
250	Rechtbank Amsterdam	19-10-2022	06-11-2022	C/13/723495 / KG ZA 22-867	Personen- en familierecht	"Eerste aanleg - enkelvoudig
Kort geding"	kort geding. verhuizing moeder met kinderen van Amsterdam naar Hoofddorp. gezamenlijk gezag. verbod afgewezen. in reconventie vervangende toestemming afgewezen.	Rechtspraak.nl	Verrijkte uitspraak		
251	Rechtbank Noord-Holland	19-10-2022	07-11-2022	9363828	Verbintenissenrecht	Bodemzaak	Vordering ogv wanprestatie verjaard. Vordering ogv ongedaanmakingsverbintenis na ontbinding niet toewijsbaar. Ontbinding niet rechtsgeldig wegens ontbreken verzuim,	Rechtspraak.nl	Verrijkte uitspraak		
252	Rechtbank Rotterdam	19-10-2022	07-11-2022	C/10/636460 / HA ZA 22-299	Civiel recht	Eerste aanleg - enkelvoudig	geen toerekenbare tekortkoming wegens niet kunnen teruggeven van gestolen caravan; geen zorgplichtschending door onvoldoende te hebben geïnformeerd, onvoldoende voorzorgsmaatregelen te hebben getroffen of geen verzekering te hebben afgesloten	Rechtspraak.nl	Verrijkte uitspraak		
253	Rechtbank Noord-Holland	19-10-2022	07-11-2022	C/15/326121 / HA ZA 22-173	Burgerlijk procesrecht	Eerste aanleg - enkelvoudig	Burengeschil. Recht van overpad. Voorgestane schutting vormt een onredelijke belemmering en bemoeilijking van het recht van overpad. Kortere schutting is wel aanvaardbaar. Vorderingen met betrekking tot illegale huisvesting van arbeidsmigranten niet-ontvankelijk; bestuursrechtelijke rechtsgang staat open.	Rechtspraak.nl	Verrijkte uitspraak		
254	Rechtbank Zeeland-West-Brabant	19-10-2022	08-11-2022	398167_E19102022	Civiel recht	Bodemzaak	Onbevoegdheidsincident art. 7 lid 2 Brussel I bis verbintenissen uit onrechtmatige daad, Erfolgsort, art. 24 lid 2 Brussel I bis geldigheid nietigheid besluiten rechtspersoon, art. 843a Rv, verzoek aanhouding	Rechtspraak.nl	Verrijkte uitspraak		
255	Rechtbank Midden-Nederland	19-10-2022	08-11-2022	9538993 LC EXPL  21-2777 A/45353	Verbintenissenrecht	Eerste aanleg - meervoudig	Pacht melkveebedrijf. Verdeling onderhoud van het gepachte en herstel van gebreken. Gebreken aan gepachte stallen. Schadevergoeding ex artikel 7:341 BW en pachtprijsvermindering ex artikel 7:340 BW. Ontbinding pachtovereenkomst wegens pachtachterstand. Afwijzing bestuurdersaansprakelijkheid.	Rechtspraak.nl	Verrijkte uitspraak		
256	Rechtbank Amsterdam	19-10-2022	08-11-2022	C/09/596822 / HA ZA 20-747	Intellectueel-eigendomsrecht	Eerste aanleg - enkelvoudig	Heel boek opgenomen als citaat bij artikel. Inbreuk op auteursrecht. Geen toestemming voor online publicatie. In het artikel wordt boek al geciteerd: opname boek als citaat niet noodzakelijk. Vrijheid van meningsuiting. Belang exploitatie groter.	Rechtspraak.nl	Verrijkte uitspraak		
257	Rechtbank Den Haag	18-10-2022	19-10-2022	C/09/635333 / KG ZA 22/843	Verbintenissenrecht	Kort geding	Familiegeschil. Gebruiksrecht kleinkinderen van een deel van een woonboerderij. Belangenafweging in het kader van ontruimingstermijn.	Rechtspraak.nl	Verrijkte uitspraak		
258	Rechtbank Gelderland	18-10-2022	20-10-2022	C/05/404170 / FA RK 22-1554	Personen- en familierecht	"Eerste aanleg - enkelvoudig
Beschikking"	1:374 BW machtiging te gelde maken. Partijen hebben in hoger beroep afspraken gemaakt over de verkoop van hun woonboerderij dat deel uitmaakt van een groter landgoed en de levering van een perceel aan de vader van de vrouw. Tussen partijen is discussie over de vraag of door die levering strijd met de Natuurschoonwet ontstaat waardoor partijen mogelijk een forse contractuele boete verschuldigd worden aan de vader van de vrouw. De vrouw meent van niet en wil gemachtigd worden om de woning te mogen verkopen, nu de man volgens haar ten onrechte weigert om hieraan mee te werken. De rechtbank is van oordeel dat er sprake is van gewichtige redenen en machtigt de vrouw tot het te gelde maken van de voormalig echtelijke woning onder de voorwaarde dat in de koopovereenkomst/leveringsakte een kettingbeding wordt opgenomen met een boetebeding op de verplichting om het verkochte in stand te houden conform de Natuurschoonwet.	Rechtspraak.nl	Verrijkte uitspraak		
259	Rechtbank Midden-Nederland	18-10-2022	20-10-2022	9952051 MT VERZ 22-3245 MC	Civiel recht	"Eerste aanleg - enkelvoudig
Beschikking"	Toewijzing verzoek ex art. 4:194a lid 2 BW.	Rechtspraak.nl	Verrijkte uitspraak		
260	Rechtbank Den Haag	18-10-2022	21-10-2022	C/09/615486 / FA RK 21-4935	Personen- en familierecht	Beschikking	kinderalimentatie	Rechtspraak.nl	Verrijkte uitspraak		
261	Rechtbank Noord-Nederland	18-10-2022	21-10-2022	9513979	Civiel recht	"Bodemzaak
Eerste aanleg - enkelvoudig
Proceskostenveroordeling
Schadevergoedingsuitspraak
Op tegenspraak"	Er is geen sprake van een all-in prijs. Omdat de huurprijs boven de liberalisatiegrens ligt, mist artikel 7:257 BW toepassing.De woning is belast met gebreken, op de voet van artikel 7:207 BW rechtvaardigen deze gebreken een huurprijsverlaging. Verhuurder heeft, ondanks het ontvangen van meldingen over gebreken, deze niet hersteld. Gelet op de door de rapporteur van de Huurcommissie gemaakte rapportage, is aannemelijk dat de huurders in hun woongenot zijn aangetast door de aanwezigheid van de gebreken. Dit heeft een significante verlaging van de huurprijs tot gevolg. De verhuurder moet de onverschuldigd betaalde huur aan de huurders terug betalen.	Rechtspraak.nl	Verrijkte uitspraak		
262	Rechtbank Amsterdam	18-10-2022	21-10-2022	9637370 CV EXPL 22-842	Civiel recht	Eerste aanleg - enkelvoudig	Afwijzing vordering tot onderbreking energieaansluitingen en betaling van afsluitkosten en schadevergoeding. Op basis van de huurovereenkomst(en) met de oude verhuurder hebben partijen kennelijk bedoeld om een huurprijs inclusief de kosten voor gas en elektra overeen te komen. Liander heeft onvoldoende over het voetlicht weten te brengen dat de huurder, en niet de nieuwe verhuurder, is te beschouwen als afnemer in de zin van artikel 1 lid 1 sub c van de Elektriciteitswet 1998 en artikel 1 lid 1 sub o van de Gaswet.	Rechtspraak.nl	Verrijkte uitspraak		
263	Rechtbank Noord-Holland	18-10-2022	24-10-2022	10091123 \ KG EXPL 22-78	Civiel recht	"Kort geding
Mondelinge uitspraak"	Kort geding. Woningstichting vordert ontruiming van huurder, die onder bewind is gesteld. Bewindvoerder heeft eerder namens huurder de huur opgezegd. Dat is gebeurd tegen de wens van huurder en zonder machtiging kantonrechter. Die machtiging is wel achteraf door de bewindvoerder verzocht, maar niet verleend, omdat het verzoek te laat was gedaan. Grondslag vordering tot ontruiming is het bewonen zonder recht of titel. Alleen bewindvoerder gedagvaard. De kantonrechter is allereerst van oordeel dat de woningstichting mocht uitgaan van een rechtsgeldige opzegging door de bewindvoerder. De kantonrechter is verder in kort geding voorshands van oordeel dat het zeer aannemelijk is dat de kantonrechter de verzochte machtiging zou hebben verleend, indien deze tijdig zou zijn verzocht. Gelet op de omstandigheden van dit geval was het ter voorkoming van verdere kosten voor de bewindvoerder aangewezen om zelf de huur op te zeggen en huurder aan te zeggen de woning te verlaten. Vordering toegewezen.	Rechtspraak.nl	Verrijkte uitspraak		
264	Rechtbank Overijssel	18-10-2022	25-10-2022	C/08/285240 / KG ZA 22-190	Civiel recht	Eerste aanleg - enkelvoudig	Uitleg van een vaststellingsovereenkomst.De kern van het geschil is te herleiden naar de vraag of partijen zijn overeengekomen of al dan niet medewerking aan de levering van een onroerende zaak is verleend. Naar het oordeel van de voorzieningenrechter dient die vraag bevestigend te worden beantwoord.	Rechtspraak.nl	Verrijkte uitspraak		
265	Rechtbank Overijssel	18-10-2022	26-10-2022	10089591 \ CV EXPL  22-2049	Civiel recht	Kort geding	Gedaagde dient medewerking te verlenen aan (reparatie)werkzaamheden in de door eiseres verhuurde woning.	Rechtspraak.nl	Verrijkte uitspraak		
266	Rechtbank Zeeland-West-Brabant	18-10-2022	28-10-2022	C/02/371643 / FA RK 20-2199	Personen- en familierecht	"Eerste aanleg - enkelvoudig
Beschikking"	“Toewijzing verzoek vaststelling vaderschap. Man meermaals in de gelegenheid gesteld de stelling van de vrouw te weerleggen, door het voeren van verweer of meewerken aan het DNA-onderzoek. Hij heeft dit nagelaten.”	Rechtspraak.nl	Verrijkte uitspraak		
267	Rechtbank Noord-Nederland	18-10-2022	01-11-2022	185594	Personen- en familierecht	"Eerste aanleg - enkelvoudig
Op tegenspraak
Beschikking"	Rechterlijke machtiging verleend. Betrokkene lijdt (vermoedelijk) aan het syndroom van Korsakov, dat met ernstige geheugenstoornissen gepaard gaat. Hierdoor vergeet betrokkene dat zij medicijnen moet innemen voor onder meer de hiv-infectie. Ook heeft betrokkene een beenwond, waarvoor een ernstige infectie dreigt met levensgevaar. Betrokkene is niet in staat tot goede zelfzorg en het nemen van rust voor de ernstige wond. In een gesloten instelling zal zij gedwongen worden rust te nemen en kan zij de juiste zorg voor haar lichamelijke klachten ontvangen.	Rechtspraak.nl	Verrijkte uitspraak		
268	Rechtbank Noord-Nederland	18-10-2022	01-11-2022	186053	Personen- en familierecht	"Eerste aanleg - enkelvoudig
Op tegenspraak
Beschikking"	Horen door onafhankelijk psychiater voor medische beoordeling Wvggz. Onvoldoende redenen om dit niet fysiek te doen gelet op de jurisprudentie van de Hoge Raad. Nieuwe medische verklaring nodig en verzoek deels aangehouden.	Rechtspraak.nl	Verrijkte uitspraak		
269	Rechtbank Noord-Nederland	18-10-2022	01-11-2022	186055	Personen- en familierecht	"Eerste aanleg - enkelvoudig
Op tegenspraak
Beschikking"	Samenloop van Wzd en Wvggz. Autismespectrumstoornis en licht verstandelijke beperking hangen sterk samen bij de bepaling welke behandeling betrokkene nodig heeft. Het belang van continuïteit van zorg maakt dat de Wzd van toepassing is.	Rechtspraak.nl	Verrijkte uitspraak		
270	Rechtbank Limburg	18-10-2022	01-11-2022	9959631\EZ22-202 18102022	Personen- en familierecht	Eerste aanleg - enkelvoudig	Artikel 4:194a lid 1 BW. Onverwachte schuld. Kantonrechter machtigt erfgenaam om nalatenschap alsnog beneficiair te aanvaarden.	Rechtspraak.nl	Verrijkte uitspraak		
271	Rechtbank Noord-Holland	18-10-2022	03-11-2022	9611711 \  EJ VERZ 21-438	Civiel recht	Eerste aanleg - enkelvoudig	Huur percelen grond. M.b.t. de recreatiewoningen op die percelen is geen opstalrecht door verjaring ontstaan. Geen wettelijke huur- of ontruimingsbescherming. Verhuurder mag opzeggen, zonder dat daarvoor een voldoende zwaarwegende grond moet bestaan.	Rechtspraak.nl	Verrijkte uitspraak		
272	Rechtbank Rotterdam	17-10-2022	18-10-2022	643791 / HA RK 22-880	"Burgerlijk procesrecht
 Personen- en familierecht"	Wraking	Wrakingsverzoek afgewezen. Wat betreft de gronden van het wrakingsverzoek en de gang van zaken ter zitting gaat de wrakingskamer uit van het pv van de zitting. De drie nadien nog ingekomen berichten met bijlagen worden buiten beschouwing gelaten omdat de feiten en omstandigheden waarop het verzoek is gegrond in een keer moeten worden voorgedragen. Geen aanwijzingen voor de stellingen van verzoeker dat hij door de rechter onvoldoende is gehoord en dat de rechter te veel in de stellingen van de vrouw zou zijn mee gegaan doordat hij de vrouw niet heeft opgedragen haar stellingen te bewijzen.	Rechtspraak.nl	Verrijkte uitspraak		
273	Rechtbank Zeeland-West-Brabant	17-10-2022	18-10-2022	C/02/401305 / KG ZA 22-436	Civiel recht	Kort geding	Kort geding: vordering tot opheffing executoriaal beslag. Vordering afgewezen wegens het ontbreken van een deugdelijke grondslag. Vordering tot ontruiming afgewezen wegens gebrek aan belang omdat eiseres al over een voor executie vatbare titel beschikt.	Rechtspraak.nl	Verrijkte uitspraak		
274	Rechtbank Rotterdam	17-10-2022	19-10-2022	FT EA 22/815	Insolventierecht	Eerste aanleg - enkelvoudig	afwijzing toepassing schuldsaneringsregeling. Financiële situatie en psychosociale problemen niet of onvoldoende onder controle.	Rechtspraak.nl	Verrijkte uitspraak	Faillissementswet 284	
275	Rechtbank Rotterdam	17-10-2022	19-10-2022	FT EA 19/1069	Insolventierecht	Eerste aanleg - enkelvoudig	Schuldenaar is slachtoffer geworden van identiteitsfraude. Er zijn geen schuldeisers benadeeld. De rechtbank oordeelt dat schuldenaar niet toerekenbaar tekort is geschoten in de nakoming van één of meer uit de schuldsaneringsregeling voortvloeiende verplichtingen.	Rechtspraak.nl	Verrijkte uitspraak	Faillissementswet 358	
